extracted_text,llm_label,bioportal_prefLabel,ontology_uri,ontology,mapping_backend,mapping_error,chunk,start,end,source_pass,context,source_chunk_path
Cholinergic interneurons,InterneuronType,Set of cholinergic cells of globus pallidus [Ch3],http://purl.org/sig/ont/fma/fma84397,FMA,local,,chunk_001,2743,2767,llm_masked_pass,"eals substantial heterogeneity in neuronal soma volumes across basal ganglia regions (Figure 4A-B). Cholinergic interneurons and globus pallidus neurons including GPi Core, GPi Shell, CN LHX6-GBX1, and GPe MEIS2-SOX6 populat",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
globus pallidus,BRAIN_STRUCTURE,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_001,2772,2787,llm_pass1,"y in neuronal soma volumes across basal ganglia regions (Figure 4A-B). Cholinergic interneurons and globus pallidus neurons including GPi Core, GPi Shell, CN LHX6-GBX1, and GPe MEIS2-SOX6 populations, exhibit the la",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
GPi Core,NeuronSubtype,GPI anchor release,http://purl.org/obo/owl/GO#GO_0006507,BIOMODELS,local,,chunk_001,2806,2814,llm_masked_pass,"basal ganglia regions (Figure 4A-B). Cholinergic interneurons and globus pallidus neurons including GPi Core, GPi Shell, CN LHX6-GBX1, and GPe MEIS2-SOX6 populations, exhibit the largest median soma volumes (",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
GPi Shell,NeuronSubtype,GPI anchor release,http://purl.org/obo/owl/GO#GO_0006507,BIOMODELS,local,,chunk_001,2816,2825,llm_masked_pass,"lia regions (Figure 4A-B). Cholinergic interneurons and globus pallidus neurons including GPi Core, GPi Shell, CN LHX6-GBX1, and GPe MEIS2-SOX6 populations, exhibit the largest median soma volumes (up to ~9,40",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
CN LHX6-GBX1,NeuronSubtype,CN,http://purl.obolibrary.org/obo/OLAS_2161968,OLAS,local,,chunk_001,2827,2839,llm_masked_pass,"(Figure 4A-B). Cholinergic interneurons and globus pallidus neurons including GPi Core, GPi Shell, CN LHX6-GBX1, and GPe MEIS2-SOX6 populations, exhibit the largest median soma volumes (up to ~9,400 µm³), wherea",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
GPe MEIS2-SOX6,NeuronSubtype,Xanthomonas albilineans GPE PC73,http://purl.obolibrary.org/obo/NCBITaxon_380358,PLANTSO,local,,chunk_001,2845,2859,llm_masked_pass,"olinergic interneurons and globus pallidus neurons including GPi Core, GPi Shell, CN LHX6-GBX1, and GPe MEIS2-SOX6 populations, exhibit the largest median soma volumes (up to ~9,400 µm³), whereas LAMP5+ interneuron",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
LAMP5+ interneurons,InterneuronType,Commissural Interneurons,http://purl.jp/bio/4/id/201506074924587030,IOBC,local,,chunk_001,2941,2960,llm_masked_pass,"and GPe MEIS2-SOX6 populations, exhibit the largest median soma volumes (up to ~9,400 µm³), whereas LAMP5+ interneurons and MSNs display markedly smaller volumes (~1,800 µm³ and ~2,500 µm³, respectively) (Figure 4B). Th",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
MSNs,NeuronType,lung volumes and capacities,http://sbmi.uth.tmc.edu/ontology/ochv#22835,OCHV,local,,chunk_001,2965,2969,llm_masked_pass,"ations, exhibit the largest median soma volumes (up to ~9,400 µm³), whereas LAMP5+ interneurons and MSNs display markedly smaller volumes (~1,800 µm³ and ~2,500 µm³, respectively) (Figure 4B). This is con",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_001,3122,3135,llm_pass1,"500 µm³, respectively) (Figure 4B). This is consistent with histological studies in mouse and human basal ganglia [51][52][53]. Although MSN subtypes are more consistent in soma volumes, other neuronal classes exh",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
SST-CHODL interneurons,InterneuronType,Sst Chodl Gaba_4 sst chodl GABAergic cortical interneuron (Mmus),http://purl.obolibrary.org/obo/PCL_0110811,PCL,local,,chunk_001,3289,3311,llm_masked_pass,"nt in soma volumes, other neuronal classes exhibit more subtype-dependent variability; for example, SST-CHODL interneurons have among the largest median volumes (~6,200 µm³), while SST-ADARB2 interneurons are significantly",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
SST-ADARB2 interneurons,InterneuronType,Commissural Interneurons,http://purl.jp/bio/4/id/201506074924587030,IOBC,local,,chunk_001,3370,3393,llm_masked_pass,"lity; for example, SST-CHODL interneurons have among the largest median volumes (~6,200 µm³), while SST-ADARB2 interneurons are significantly smaller (~2,300 µm³) (p-value = 6.9 x 10 -15, Wilcoxon rank-sum test). These quan",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
human basal ganglia,UBERON_ANATOMICAL_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_001,3598,3617,llm_pass1,ive reconstructions highlight the pronounced morphological diversity among neuronal subtypes in the human basal ganglia. We next analyzed RNA distributions in putative cellular processes including axonal and dendritic,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
axonal and dendritic processes,NeuronalProcess,COG cellular processes and signaling,http://purl.obolibrary.org/obo/CAO_0000015,CAO,local,,chunk_001,3696,3726,llm_masked_pass,"e human basal ganglia. We next analyzed RNA distributions in putative cellular processes including axonal and dendritic processes (""neurite transcripts"") which provide indirect information about neuronal projections. Focusing on",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
neurite transcripts,SubcellularTranscriptClass,neurite regeneration,http://purl.obolibrary.org/obo/GO_0031102,NIGO,local,,chunk_001,3729,3748,llm_masked_pass,"nalyzed RNA distributions in putative cellular processes including axonal and dendritic processes (""neurite transcripts"") which provide indirect information about neuronal projections. Focusing on MSNs, in the mouse and",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_001,3856,3869,llm_pass1,"provide indirect information about neuronal projections. Focusing on MSNs, in the mouse and monkey basal ganglia circuitry, D1 matrix MSNs project directly to the GPi and substantia nigra pars reticulata, whereas",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
D1 matrix MSNs,NeuronSubtype,D1 Matrix MSN,http://purl.obolibrary.org/obo/CL_4030043,HRA,local,,chunk_001,3881,3895,llm_masked_pass,"tion about neuronal projections. Focusing on MSNs, in the mouse and monkey basal ganglia circuitry, D1 matrix MSNs project directly to the GPi and substantia nigra pars reticulata, whereas D2 matrix MSNs form the i",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
GPi,BrainRegion,Putamen,http://www.radlex.org/RID/RID6551,RADLEX,local,,chunk_001,3920,3923,llm_masked_pass,"ng on MSNs, in the mouse and monkey basal ganglia circuitry, D1 matrix MSNs project directly to the GPi and substantia nigra pars reticulata, whereas D2 matrix MSNs form the indirect pathway via the GPe",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
substantia nigra pars reticulata,BRAIN_STRUCTURE,Substantia nigra pars reticulata,http://purl.jp/bio/4/id/200906067755457667,IOBC,local,,chunk_001,3928,3960,llm_pass1,"Ns, in the mouse and monkey basal ganglia circuitry, D1 matrix MSNs project directly to the GPi and substantia nigra pars reticulata, whereas D2 matrix MSNs form the indirect pathway via the GPe 3,54. Consistent with this organizati",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
D2 matrix MSNs,NeuronSubtype,D2 Matrix MSN,http://purl.obolibrary.org/obo/CL_4030047,HRA,local,,chunk_001,3970,3984,llm_masked_pass,"circuitry, D1 matrix MSNs project directly to the GPi and substantia nigra pars reticulata, whereas D2 matrix MSNs form the indirect pathway via the GPe 3,54. Consistent with this organization, we found that D1-enr",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
indirect pathway,NeuralPathway,Substantia nigra pars reticulata,http://purl.jp/bio/4/id/200906067755457667,IOBC,local,,chunk_001,3994,4010,llm_masked_pass,"s project directly to the GPi and substantia nigra pars reticulata, whereas D2 matrix MSNs form the indirect pathway via the GPe 3,54. Consistent with this organization, we found that D1-enriched transcripts (e.g., R",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
GPe,BrainRegion,Structure of putamen,http://doe-generated-ontology.com/OntoAD#C0034169,ONTOAD,local,,chunk_001,4019,4022,llm_masked_pass,"GPi and substantia nigra pars reticulata, whereas D2 matrix MSNs form the indirect pathway via the GPe 3,54. Consistent with this organization, we found that D1-enriched transcripts (e.g., RELN, EBF1, S",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
RELN,GeneOrProtein,RELN Gene,http://purl.obolibrary.org/obo/NCIT_C102799,BERO,local,,chunk_001,4109,4113,llm_masked_pass,"y via the GPe 3,54. Consistent with this organization, we found that D1-enriched transcripts (e.g., RELN, EBF1, SLIT1) exhibit higher extra-somatic signal density within the GPi, while D2-enriched transcr",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
EBF1,GeneOrProtein,Ebf1 (Yao - within subclass).,http://purl.obolibrary.org/obo/PCL_0143810,PCL,local,,chunk_001,4115,4119,llm_masked_pass,"the GPe 3,54. Consistent with this organization, we found that D1-enriched transcripts (e.g., RELN, EBF1, SLIT1) exhibit higher extra-somatic signal density within the GPi, while D2-enriched transcripts s",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
SLIT1,GeneOrProtein,Slit1 (Mmus),http://identifiers.org/ncbigene/20562,PCL,local,,chunk_001,4121,4126,llm_masked_pass,"e 3,54. Consistent with this organization, we found that D1-enriched transcripts (e.g., RELN, EBF1, SLIT1) exhibit higher extra-somatic signal density within the GPi, while D2-enriched transcripts show pre",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
SEMA3E,GeneOrProtein,SEMA3E Gene,http://purl.obolibrary.org/obo/NCIT_C24799,BERO,local,,chunk_001,4645,4651,llm_masked_pass,"gure 4E). In addition, we observed that GPi and GPe regions have high concentration of extrasomatic SEMA3E and SEMA5A, ligands part of the semaphorin family of axonal guidance molecules 55,56. We found SEMA",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
SEMA5A,GeneOrProtein,SEMA5A,http://identifiers.org/hgnc/10736,HRA,local,,chunk_001,4656,4662,llm_masked_pass,"n addition, we observed that GPi and GPe regions have high concentration of extrasomatic SEMA3E and SEMA5A, ligands part of the semaphorin family of axonal guidance molecules 55,56. We found SEMA3E is enric",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
semaphorin family of axonal guidance molecules,MolecularFamily,axonal guidance,http://purl.jp/bio/4/id/200906046514685351,IOBC,local,,chunk_001,4684,4730,llm_masked_pass,"GPi and GPe regions have high concentration of extrasomatic SEMA3E and SEMA5A, ligands part of the semaphorin family of axonal guidance molecules 55,56. We found SEMA3E is enriched in GPe (Figure 4F), while SEMA5A is prominently found in GPi (Fi",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
snRNA-seq,SequencingTechnique,increased mature snRNA level,http://purl.obolibrary.org/obo/FYPO_0004206,UPHENO,local,,chunk_001,4909,4918,llm_masked_pass,"ntly found in GPi (Figure 4H). Their expression is also higher in the nuclei as confirmed using the snRNA-seq data from the Allen Institute Basal Ganglia Consensus Cell Type Atlas (Figure 4G, I). This might re",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
Allen Institute Basal Ganglia Consensus Cell Type Atlas,BrainAtlas,Dysgenesis of the basal ganglia,http://purl.obolibrary.org/obo/HP_0025102,HP,local,,chunk_001,4933,4988,llm_masked_pass,"e 4H). Their expression is also higher in the nuclei as confirmed using the snRNA-seq data from the Allen Institute Basal Ganglia Consensus Cell Type Atlas (Figure 4G, I). This might reflect that specific semaphorin gene family members mediate long range",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
semaphorin gene family,GeneFamily,PLXNA1 Gene,http://purl.obolibrary.org/obo/NCIT_C185728,BERO,local,,chunk_001,5038,5060,llm_masked_pass,"Institute Basal Ganglia Consensus Cell Type Atlas (Figure 4G, I). This might reflect that specific semaphorin gene family members mediate long range connections in neurons such as MSNs targeting specific segments of the g",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
globus pallidus,BRAIN_STRUCTURE,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_001,5159,5174,llm_pass1,"y members mediate long range connections in neurons such as MSNs targeting specific segments of the globus pallidus 55,57. Together, these findings demonstrate that MERFISH+ not only resolves molecular and spatial i",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
human basal ganglia,UBERON_ANATOMICAL_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_001,5487,5506,llm_pass1,anscriptome and provides an unprecedented window into the structural and functional organization of human basal ganglia circuits. Mesoscale cellular community architecture of the human basal ganglia To resolve mesosca,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
human basal ganglia,UBERON_ANATOMICAL_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_001,5567,5586,llm_pass1,"nal organization of human basal ganglia circuits. Mesoscale cellular community architecture of the human basal ganglia To resolve mesoscale organization beyond individual cell types, we performed cellular community an",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
cellular community analysis,ComputationalTechnique,single-cell gene expression analysis,http://purl.obolibrary.org/obo/ERO_0001564,ERO,local,,chunk_001,5665,5692,llm_masked_pass,"e human basal ganglia To resolve mesoscale organization beyond individual cell types, we performed cellular community analysis 14,58, which groups cells based on the composition of their spatial neighborhoods. Specifically, fo",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
Allen Human Brain Atlas,BrainAtlas,Allen Brain Atlas Adult Mouse Ontology,http://mouse.brain-map.org/atlas/index.html#ABAMouse,ASDF,local,,chunk_001,6131,6154,llm_masked_pass,is approach yields 14 discrete spatial modules that correspond to anatomical regions defined in the Allen Human Brain Atlas 59 (Figure 5B). Each spatial module display characteristic cell-type enrichment patterns correspon,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
GPe SOX8-CTXND1,NeuronSubtype,Xanthomonas albilineans GPE PC73,http://purl.obolibrary.org/obo/NCBITaxon_380358,PLANTSO,local,,chunk_001,6304,6319,llm_masked_pass,"acteristic cell-type enrichment patterns corresponding to known anatomical domains 13. For example, GPe SOX8-CTXND1 and GPe MEIS2-SOX6 neurons are enriched in the external globus pallidus (GPe), whereas GPi Core and",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
GPe MEIS2-SOX6 neurons,NeuronSubtype,GPe MEIS2-SOX6,http://purl.obolibrary.org/obo/CL_4023035,HRA,local,,chunk_001,6324,6346,llm_masked_pass,"enrichment patterns corresponding to known anatomical domains 13. For example, GPe SOX8-CTXND1 and GPe MEIS2-SOX6 neurons are enriched in the external globus pallidus (GPe), whereas GPi Core and GPi Shell neurons are conf",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
globus pallidus,BRAIN_STRUCTURE,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_001,6376,6391,llm_pass1,"al domains 13. For example, GPe SOX8-CTXND1 and GPe MEIS2-SOX6 neurons are enriched in the external globus pallidus (GPe), whereas GPi Core and GPi Shell neurons are confined to the GPi. Similarly, STRv D1 and STRv",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
GPi Core and GPi Shell neurons,NeuronSubtype,GPI anchor release,http://purl.org/obo/owl/GO#GO_0006507,BIOMODELS,local,,chunk_001,6407,6437,llm_masked_pass,"SOX8-CTXND1 and GPe MEIS2-SOX6 neurons are enriched in the external globus pallidus (GPe), whereas GPi Core and GPi Shell neurons are confined to the GPi. Similarly, STRv D1 and STRv D2 MSNs are enriched in the nucleus accumbens",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
STRv D1,NeuronSubtype,D1 protein,http://purl.jp/bio/4/id/200906055585066279,IOBC,local,,chunk_001,6474,6481,llm_masked_pass,"l globus pallidus (GPe), whereas GPi Core and GPi Shell neurons are confined to the GPi. Similarly, STRv D1 and STRv D2 MSNs are enriched in the nucleus accumbens shell and core, while STRd D1 and STRd D2 MS",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
STRv D2 MSNs,NeuronSubtype,small nuclear ribonucleoprotein Sm D2 (mouse),http://purl.obolibrary.org/obo/PR_P62317,PR,local,,chunk_001,6486,6498,llm_masked_pass,"lidus (GPe), whereas GPi Core and GPi Shell neurons are confined to the GPi. Similarly, STRv D1 and STRv D2 MSNs are enriched in the nucleus accumbens shell and core, while STRd D1 and STRd D2 MSNs populate the s",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
nucleus accumbens,BRAIN_STRUCTURE,nucleus accumbens septi,http://purl.jp/bio/4/id/200906026769438853,IOBC,local,,chunk_001,6519,6536,llm_pass1,"GPi Shell neurons are confined to the GPi. Similarly, STRv D1 and STRv D2 MSNs are enriched in the nucleus accumbens shell and core, while STRd D1 and STRd D2 MSNs populate the striatum (caudate nucleus and putamen)",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
STRd D1,NeuronSubtype,D1 protein,http://purl.jp/bio/4/id/200906055585066279,IOBC,local,,chunk_001,6559,6566,llm_masked_pass,"Pi. Similarly, STRv D1 and STRv D2 MSNs are enriched in the nucleus accumbens shell and core, while STRd D1 and STRd D2 MSNs populate the striatum (caudate nucleus and putamen) (Figure 5C). Besides these ca",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
STRd D2 MSNs,NeuronSubtype,STRv D2 MSN,http://purl.obolibrary.org/obo/CL_4030052,HRA,local,,chunk_001,6571,6583,llm_masked_pass,"y, STRv D1 and STRv D2 MSNs are enriched in the nucleus accumbens shell and core, while STRd D1 and STRd D2 MSNs populate the striatum (caudate nucleus and putamen) (Figure 5C). Besides these canonical distribut",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
striatum,BRAIN_STRUCTURE,striatum,http://purl.obolibrary.org/obo/UBERON_0002435,UPHENO,local,,chunk_001,6597,6605,llm_pass1,"s are enriched in the nucleus accumbens shell and core, while STRd D1 and STRd D2 MSNs populate the striatum (caudate nucleus and putamen) (Figure 5C). Besides these canonical distributions, several interneu",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
caudate nucleus,BRAIN_STRUCTURE,Caudate Nucleus,http://purl.jp/bio/4/id/200906006884530231,IOBC,local,,chunk_001,6607,6622,llm_pass1,"ched in the nucleus accumbens shell and core, while STRd D1 and STRd D2 MSNs populate the striatum (caudate nucleus and putamen) (Figure 5C). Besides these canonical distributions, several interneuron and projectio",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
putamen,BrainRegion,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_001,6627,6634,llm_masked_pass,"accumbens shell and core, while STRd D1 and STRd D2 MSNs populate the striatum (caudate nucleus and putamen) (Figure 5C). Besides these canonical distributions, several interneuron and projection-type popul",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
STR fast-spiking PTHLH-PVALB GABAergic interneurons,InterneuronSubtype,PTHLH-PVALB,http://purl.obolibrary.org/obo/CL_4042023,HRA,local,,chunk_001,6789,6840,llm_masked_pass,"several interneuron and projection-type populations exhibit distinct regional biases. For instance, STR fast-spiking PTHLH-PVALB GABAergic interneurons are preferentially enriched in the caudate nucleus (Figure 5D, in agreement with previous snRNA-seq",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
caudate nucleus,BRAIN_STRUCTURE,Caudate Nucleus,http://purl.jp/bio/4/id/200906006884530231,IOBC,local,,chunk_001,6876,6891,llm_pass1,"or instance, STR fast-spiking PTHLH-PVALB GABAergic interneurons are preferentially enriched in the caudate nucleus (Figure 5D, in agreement with previous snRNA-seq analysis 11. STRd ChAT+ GABAergic interneurons are",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
STRd ChAT+ GABAergic interneurons,InterneuronSubtype,Vip Chat_1 primary motor cortex GABAergic interneuron (Mmus),http://purl.obolibrary.org/obo/PCL_0011023,PCL,local,,chunk_001,6954,6987,llm_masked_pass,"ially enriched in the caudate nucleus (Figure 5D, in agreement with previous snRNA-seq analysis 11. STRd ChAT+ GABAergic interneurons are more abundant in the putamen (Figure 5E). In contrast, FM GATA3-TCF7L2 neurons, a transcription",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
putamen,BRAIN_STRUCTURE,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_001,7013,7020,llm_pass1,"ent with previous snRNA-seq analysis 11. STRd ChAT+ GABAergic interneurons are more abundant in the putamen (Figure 5E). In contrast, FM GATA3-TCF7L2 neurons, a transcriptionally distinct population with unc",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
FM GATA3-TCF7L2 neurons,NeuronSubtype,Prostaglandin FM,http://purl.jp/bio/4/id/200906029937026271,IOBC,local,,chunk_001,7047,7070,llm_masked_pass,"is 11. STRd ChAT+ GABAergic interneurons are more abundant in the putamen (Figure 5E). In contrast, FM GATA3-TCF7L2 neurons, a transcriptionally distinct population with unclear lineage affiliation are enriched in the GPi n",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
GPi nucleus,BrainRegion,Basal Nucleus of Meynert,http://purl.jp/bio/4/id/200906018695483034,IOBC,local,,chunk_001,7165,7176,llm_masked_pass,"urons, a transcriptionally distinct population with unclear lineage affiliation are enriched in the GPi nucleus of the basal ganglia;; this represents a previously unknown neuronal subtype within this region (Fi",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_001,7184,7197,llm_pass1,ionally distinct population with unclear lineage affiliation are enriched in the GPi nucleus of the basal ganglia;; this represents a previously unknown neuronal subtype within this region (Figure 5F). Quantitati,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
caudate nucleus,BRAIN_STRUCTURE,Caudate Nucleus,http://purl.jp/bio/4/id/200906006884530231,IOBC,local,,chunk_001,7380,7395,llm_pass1,"5F). Quantitative analysis of MSN subtype proportions across striatal subregions reveals that the caudate nucleus and putamen share comparable D1/D2 ratios (Figure 5C). In contrast, both D1-and D2-striosomal MSNs",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
putamen,BRAIN_STRUCTURE,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_001,7400,7407,llm_pass1,"analysis of MSN subtype proportions across striatal subregions reveals that the caudate nucleus and putamen share comparable D1/D2 ratios (Figure 5C). In contrast, both D1-and D2-striosomal MSNs are detected",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_001.txt
